"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs"
"asl-rhin-CD2-40_0005_tracings.csv",1.5,"C","D",2,10000,"2",-1.37013734394159,21.1491744942155,5.2509748348818,110.270471532518,6,5,1.03660219629428,15,2.5
"asl-rhin-CD2-40_0005_tracings.csv",1.5,"C","D",2,10000,"1",-35.3098310363068,35.3098310363068,4.59946991144956,13.7984097343487,1,1,1.10492491467569,2,2
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"5",-6.84435494918359,18.7528760493442,11.0194492564458,176.311188103132,5,4,1.02786000425352,12,3
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"4",8.13893307152736,8.13893307152736,12.96397277742,51.85589110968,1,1,1.02762796630131,3,3
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"8",2.32808365671841,14.2999832900653,9.61494992816348,86.5345493534713,2,2,1.0436209228065,8,8
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"12",1.8510837228231,19.1574509683867,12.0016937337847,132.018631071631,1,1,1.05372285941277,10,10
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"10",0.303843285637277,34.0132188564537,9.42537151685272,65.9776006179691,2,2,1.09719823286082,5,2.5
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"2",1.05271467920219,25.5596954507234,10.2697518680171,215.664789228358,4,4,1.12873993356651,17,4.25
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"9",8.3337279873981,24.543687944328,9.37048948977344,37.4819579590937,2,2,1.03324281660463,2,1
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"11",1.45504215892855,20.6999275669337,15.6215159591565,218.701223428191,3,2,1.04466802761904,11,3.66666666666667
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"19",-4.34527351164339,23.1340147520375,11.2427751355555,179.884402168889,3,3,1.04459489249308,13,4.33333333333333
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"20",3.73741773337805,22.4067718104003,10.8561026481793,227.978155611764,5,5,1.12750852892909,18,6
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"21",0.4531677722648,29.8354770270929,9.84913652854396,177.284457513791,3,3,1.08534899035271,15,5
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"22",-2.05872810829275,22.150361178257,10.3299131976399,216.928177150437,4,4,1.05149799196078,17,4.25
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"23",-5.88498770095771,32.1850396018222,8.51033017869351,102.123962144322,1,1,1.16146489638948,11,11
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"24",-14.5342729909012,14.5342729909012,16.6145466892609,66.4581867570436,1,1,1.02181041641096,3,3
"asl-rhin-CB2-20_0000_tracings.csv",4,"C","B",2,10000,"25",-2.31142540194926,25.0853457721913,9.52630470659473,180.9997894253,7,7,1.02837220596167,16,5.33333333333333
